"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Available","Backorder","Unit Price","Extended Price USD"
"1","1","609-5181-ND","ICD15S13E4GX00LF","CONN DSUB HD RCPT 15POS R/A SLDR","","1","0","1.29000","1.29"
"2","1","PIC32MX270F256B-I/SP-ND","PIC32MX270F256B-I/SP","IC MCU 32BIT 256KB FLASH 28SDIP","","1","0","4.03000","4.03"
"3","1","MCP1700-3302E/TO-ND","MCP1700-3302E/TO","IC REG LINEAR 3.3V 250MA TO92-3","","1","0","0.37000","0.37"
"4","1","887-1248-ND","9B-20.000MEEJ-B","CRYSTAL 20.0000MHZ 18PF T/H","","1","0","0.48000","0.48"
"5","1","1080-1064-ND","HLMPD150A","LED RED DIFFUSED T-1 3/4 T/H","","1","0","0.46000","0.46"
"6","2","490-8671-ND","RDE5C1H270J0P1H03B","CAP CER 27PF 50V NP0 RADIAL","","2","0","0.49000","0.98"
"7","2","478-7334-1-ND","SR215C104KAATR1","CAP CER 0.1UF 50V X7R RADIAL","","2","0","0.22000","0.44"
"8","3","445-173437-1-ND","FG26X7R1E106KRT06","CAP CER 10UF 25V X7R RADIAL","","3","0","0.73000","2.19"
"9","1","82QBK-ND","CFR-25JB-52-82R","RES 82 OHM 1/4W 5% AXIAL","","1","0","0.10000","0.10"
"10","1","CF14JT220RCT-ND","CF14JT220R","RES 220 OHM 1/4W 5% AXIAL","","1","0","0.10000","0.10"
"11","4","CF14JT4K70CT-ND","CF14JT4K70","RES 4.7K OHM 1/4W 5% AXIAL","","4","0","0.10000","0.40"
"12","1","CF14JT10K0CT-ND","CF14JT10K0","RES 10K OHM 1/4W 5% AXIAL","","1","0","0.10000","0.10"
"13","1","CF14JT100KCT-ND","CF14JT100K","RES 100K OHM 1/4W 5% AXIAL","","1","0","0.10000","0.10"
"14","1","2057-USB-B-S-RA-WT-SPCC-ND","USB-B-S-RA-WT-SPCC","USB TYPE B, RIGHT ANGLE, WHITE C","","1","0","0.45000","0.45"
"15","1","CP-2260-ND","MD-60SM","CONN RCPT FMALE MINI DIN 6P SLDR","","1","0","1.94000","1.94"
"16","1","A1922-ND","640456-4","CONN HEADER VERT 4POS 2.54MM","","1","0","0.23000","0.23"
"17","1","A1921-ND","640456-2","CONN HEADER VERT 2POS 2.54MM","","1","0","0.11000","0.11"
"18","1","ED11091-ND","110-47-328-41-001000","CONN IC DIP SOCKET 28POS GOLD","","1","0","1.38000","1.38"
"19","1","2057-PH1-14-UA-ND","PH1-14-UA","CONN HEADER VERT 14POS 2.54MM","","1","0","0.21000","0.21"
